"","name","planets_number","spectral_type","effective_temp","radius","mass","luminosity","azi","pol","visual_magnitude","habitable_max","habitable_min"
"104","TOI-1422",1,"G2 V",5840,1.02,0.98,0.048,354.240829,39.6392793,10.622,1.046249334,1.76488524
"105","TOI-1468",2,"M3.0 V",3496,0.34,0.34,-1.797,16.6538724,19.2249195,12.5,0.125064829,0.210967944
"107","TOI-1470",2,"M1.5 V",3709,0.47,0.47,-1.425,10.0891431,61.2133868,13.459,0.191926611,0.32375499
"109","TOI-1518",1,"F0",7300,1.95,1.79,0.986250513,352.2675207,67.0348062,8.952,3.08148779,5.198065261
"110","TOI-1749",3,"M0 V",3985,0.55,0.58,-1.164671468,282.7372281,64.419466,13.86,0.258999819,0.436898685
"113","TOI-1776",1,"",5785,0.94,0.92,-0.053,164.7772913,40.9837182,8.26,0.931397772,1.571145736
"114","TOI-2010",1,"F0",5929,1.08,1.11,0.114,292.1669417,53.4873694,9.849,1.12884729,1.904217145
"115","TOI-2088",1,"",5081,0.85,0.9,-0.362,261.3748943,75.8822796,11.638,0.652582156,1.100820405
"116","TOI-2095",2,"M2.5 V",3759,0.44,0.44,-1.459,285.6365235,75.4185135,13.19,0.184558986,0.311326774
"118","TOI-2120",1,"",3131,0.24,0.21,-2.287,23.507315,65.5139877,15.648,0.071143495,0.120009733
"119","TOI-2134",2,"K5 V",4580,0.71,0.74,-0.717,271.9355015,39.0729269,8.933,0.43364585,0.731503606
"121","TOI-2136",1,"M4.5 V",3342,0.34,0.34,-1.886,281.1763433,36.5631318,14.32,0.112884729,0.190421715
"122","TOI-2180",1,"G5",5695,1.64,1.11,0.406,277.94363,56.6506789,9.162,1.579920356,2.665118176
"123","TOI-2196",1,"G V",5634,1.04,1.03,-0.004,312.3400744,-70.4850723,12.297,0.985451363,1.662327047
"124","TOI-2374",1,"",4802,0.69,0.75,-0.643723346,319.4982407,-22.0498228,12.095,0.471816931,0.795893208
"125","TOI-270",3,"M",3506,0.38,0.39,-1.712,68.4160804,-51.9573937,12.603,0.137922523,0.232657186
"128","TOI-3785",1,"M2 V",3576,0.5,0.52,-1.435,130.9002258,63.0780768,14.595,0.189729645,0.320048997
"129","TOI-4010",4,"K V",4960,0.83,0.88,-0.427027259,20.2148196,66.0722009,12.291,0.605510342,1.021416435
"133","TOI-431",3,"",4850,0.73,0.78,-0.577497475,83.2692502,-26.7238698,9.12,0.509197728,0.858949702
"136","TOI-4562",1,"F7 V",6096,1.15,1.19,0.214465364,112.0100593,-63.5177788,12.14,1.267266273,2.137711793
"137","TOI-4600",2,"K V",5170,0.81,0.89,-0.377,258.4503674,64.5661727,12.577,0.641409214,1.081973119
"139","TOI-663",3,"M1 V",3681,0.51,0.51,-1.368106528,160.0658525,-8.5110827,13.667,0.20491886,0.345671208
"142","TOI-782",1,"",3370,0.41,0.4,-1.702,183.9203614,-18.9103377,14.83,0.139519591,0.235351229
"143","TOI-836",2,"K V",4552,0.67,0.68,-0.762151531,225.0798831,-24.4542022,9.92,0.411679678,0.694449558
"145","Teegarden's Star",3,"",3034,0.12,0.1,-3.141,43.2691449,16.8649024,15.13,0.026615535,0.044896912
"148","WASP-153",1,"G0",5914,1.73,1.34,0.516507337,279.2624729,40.0186905,12.591,1.794274409,3.026705317
"149","WASP-166",1,"F9 V",6050,1.22,1.19,0.25263101,144.8751047,-20.9824191,9.351,1.324191207,2.233736682
"150","WASP-57",1,"",5600,0.93,0.89,-0.117392145,223.8199788,-2.0576866,12.913,0.864846679,1.458882782
"151","WASP-59",1,"K5 V",4650,0.61,0.72,-0.806638668,349.6229547,24.889277,12.659,0.391125256,0.659776947
"152","Wolf 503",1,"",4716,0.69,0.69,-0.675116783,206.8461979,-6.1393369,10.27,0.45506853,0.767640854
