pl_name,hostname,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,ra,dec,sy_vmag,EscVal,ESI,lmin,lmax,SType,TType,Show
HD 115954 b,HD 115954,1,3700,5,,2634.79749,,0.487,0.06,145,G0 V,5957,1.21,1.18,0.34,0.218570991,199.9853694,38.3691383,8.34,,,2.1478402,1.273270538,J,C,1
HD 156668 b,HD 156668,2,4.6455,0.05,,4.15,,0,,,,4850,0.72,0.77,0.05,0.23,259.4183491,29.228161,8.43,,,2.17628852,1.290135111,E,H,1
HD 156668 c,HD 156668,2,811.3,1.57,,31.4968,,0.089,,,,4903.69,0.77,0.79,0.049,-0.512036671,259.4183491,29.228161,8.43,,,0.926185838,0.549056275,N,C,1
HD 192310 b,HD 192310,2,74.72,0.32,,16.9,,0.13,,355,,5166,,0.8,-0.04,-0.415,303.8284712,-27.0337556,5.73,,,1.035658255,0.613953097,N,W,1
HD 192310 c,HD 192310,2,525.8,1.18,,24,,0.32,,185,,5166,,0.8,-0.04,-0.415,303.8284712,-27.0337556,5.73,,,1.035658255,0.613953097,N,C,1
HD 207496 b,HD 207496,1,6.441008,0.0629,2.25,6.1,3.17,0.231,72.9,743,K2.5 V,4819,0.77,0.8,0.095,-0.542300994,328.7181708,-77.3388025,8.23,1.646545205,0.32018631,0.894470401,0.530254908,S,H,1
HD 235088 b,HD 235088,1,7.434151,0.071,2.075,4.2,2.58,0,,754,,5087,0.8,0.85,0.105,-0.412,300.6154535,53.3774418,9.19,1.422707414,0.311281375,1.039241476,0.616077282,S,H,1
HD 28109 b,HD 28109,3,22.89104,0.1357,2.199,18.496,9.589370998,0.3307,,881,F8/G0 V,6120,1.45,1.26,0,0.422631543,65.2383065,-68.1026875,9.42,2.900188951,0.250283585,2.716640949,1.610463796,S,H,1
HD 28109 c,HD 28109,3,56.00819,0.308,4.23,7.943,0.578564061,0.1203,,585,F8/G0 V,6120,1.45,1.26,0,0.422631543,65.2383065,-68.1026875,9.42,1.370320319,0.270601171,2.716640949,1.610463796,N,H,1
HD 28109 d,HD 28109,3,84.25999,0.411,3.25,5.681,0.912352568,0.0864,,506,F8/G0 V,6120,1.45,1.26,0,0.422631543,65.2383065,-68.1026875,9.42,1.32211951,0.357509189,2.716640949,1.610463796,S,H,1
HD 86226 b,HD 86226,2,1628,2.73,,143.0235,,0.059,,176,G1 V,5863,1.05,1.02,0.018,0.072,149.1235154,-24.0991859,7.93,,,1.814330791,1.075561367,J,C,1
HD 86226 c,HD 86226,2,3.98442,0.049,2.16,7.25,3.97,0.075,,1311,G1 V,5863,1.05,1.02,0.018,0.072,149.1235154,-24.0991859,7.93,1.832070272,0.175771436,1.814330791,1.075561367,S,H,1
HD 95338 b,HD 95338,1,55.087,0.262,3.89,42.44,3.98,0.197,7.42,385,K0.5 V,5212,0.87,0.83,0.04,-0.31,164.8563364,-56.6235564,8.62,3.303032804,0.535079229,1.168736133,0.692843576,N,W,1
HD 95735 c,GJ 411,2,2946,2.94,,13.6,,0.132,,,,3719,0.37,0.39,-0.362,-1.629001988,165.834471,35.972317,7.49,,,0.255985565,0.151751922,S,C,1
K2-18 b,K2-18,2,32.939623,0.1429,2.37,8.92,4.11,0.2,,284,,3457,0.41,0.36,0.12,-1.666744918,172.560141,7.5878315,13.477,1.940029144,0.770220283,0.245100395,0.145299037,S,W,1
K2-18 c,K2-18,2,8.962,0.06,,7.51,,0.47,,363,,3457,0.41,0.36,,-1.666744918,172.560141,7.5878315,13.477,,,0.245100395,0.145299037,S,W,1
K2-199 b,K2-199,2,3.2253993,0.0382,1.73,6.9,7.2,0.02,116.2,913,,4491,0.68,0.71,-0.01,-0.733,208.9014508,-6.1360833,12.358,1.997107735,0.270046793,0.71815216,0.425730921,E,H,1
K2-199 c,K2-199,2,7.3744897,0.0662,2.85,12.4,2.9,0.03,38.6,694,,4491,0.68,0.71,-0.01,-0.733,208.9014508,-6.1360833,12.358,2.085875642,0.321421039,0.71815216,0.425730921,S,H,1
K2-222 b,K2-222,1,15.38857,0.1206,2.35,8.7,3.68,0.16,96,871,,5942,1.11,0.99,-0.315,0.139266397,16.4625203,11.7537171,9.543,1.924091385,0.271355771,1.960422462,1.162166609,S,H,1
K2-280 b,K2-280,1,19.89526,0.1461,7.5,37.1,0.48,0.35,,787,,5500,1.28,1.03,0.33,0.128760547,291.5953596,-22.2477071,12.524,2.224110309,0.16925275,1.936853375,1.148194516,J,H,1
K2-3 b,K2-3,3,10.0546535,0.0747,2.078,5.11,3.11,0.107,10.5,501,M V,3844,0.55,0.55,-0.157,-1.231,172.3353708,-1.4551364,12.168,1.568150275,0.476308104,0.4047776,0.239957978,S,H,1
K2-3 c,K2-3,3,24.646729,0.1357,1.582,2.68,3.7,0.048,3.17,372,M V,3844,0.55,0.55,-0.157,-1.231,172.3353708,-1.4551364,12.168,1.301559893,0.665171656,0.4047776,0.239957978,E,W,1
K2-3 d,K2-3,3,44.55603,0.2014,1.458,2.2,3.913254572,0.091,1.44,305,M V,3844,0.55,0.55,-0.157,-1.231,172.3353708,-1.4551364,12.168,1.228379552,0.795706379,0.4047776,0.239957978,E,W,1
KELT-20 b,KELT-20,1,3.4741085,0.0542,19.515,1074.90106,0.806,,4362.5,2262,A2 V,8720,1.56,1.76,-0.29,1.104,294.6614126,31.2192001,7.59,7.421641427,0.04176259,5.952733928,3.528866221,J,H,1
KOI-1833 d,Kepler-968,3,7.685,,2.58,11.02,4.5,,,613,,4413,0.67,0.68,,-0.816024835,285.6025889,50.1120401,14.626,2.066716679,0.395289361,0.652685634,0.386921424,S,H,1
KOI-3503 b,KOI-3503,2,21.185,,1.19,9.2,10,,,785,,6001,1.25,0.86,,0.259604383,293.1507654,41.7291532,13.831,2.780484209,0.29828232,2.251742177,1.334865123,E,H,1
KOI-3503 c,KOI-3503,2,31.828,,1.21,10.36,10,,,686,,6001,1.25,0.86,,0.259604383,293.1507654,41.7291532,13.831,2.926086716,0.340248879,2.251742177,1.334865123,E,H,1
